x,y,theta
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.053544,0.135165,-0.743901
-0.235465,0.195835,-1.743901
-0.384810,0.075533,-2.743901
-0.364270,-0.115135,-3.743901
-0.192731,-0.200870,-4.743901
-0.027905,-0.102848,-5.743901
-0.021620,0.088742,-0.463901
-0.179690,0.197324,-1.463901
-0.356464,0.122980,-2.463901
-0.389417,-0.065939,-3.463901
-0.248252,-0.195741,-4.463901
-0.062756,-0.147087,-5.463901
-0.003593,0.035280,-0.183901
-0.125499,0.183316,-1.183901
-0.315935,0.160720,-2.183901
-0.399813,-0.011735,-3.183901
-0.300017,-0.175493,-4.183901
-0.108299,-0.179997,-5.183901
-0.000923,-0.021105,-6.183901
-0.077114,0.154853,-0.903901
-0.266378,0.185764,-1.903901
-0.394648,0.043206,-2.903901
-0.343994,-0.141754,-3.903901
-0.160987,-0.199065,-4.903901
-0.013883,-0.076035,-5.903901
-0.038304,0.114101,-0.623901
-0.211654,0.196113,-1.623901
-0.374325,0.094555,-2.623901
-0.376759,-0.097201,-3.623901
-0.216717,-0.202855,-4.623901
-0.041342,-0.125269,-5.623901
-0.012090,0.064186,-0.343901
-0.156025,0.190910,-1.343901
-0.340428,0.138262,-2.343901
-0.395759,-0.045353,-3.343901
-0.271148,-0.191121,-4.343901
-0.081161,-0.165023,-5.343901
-0.000516,0.008945,-0.063901
-0.103825,0.170511,-1.063901
-0.295595,0.170874,-2.063901
-0.399515,0.009701,-3.063901
-0.320041,-0.164827,-4.063901
-0.130241,-0.192249,-5.063901
-0.004616,-0.047354,-6.063901
-0.059119,0.136455,-0.783901
-0.243320,0.189801,-1.783901
-0.387734,0.063624,-2.783901
-0.359587,-0.126071,-3.783901
-0.184757,-0.204877,-4.783901
-0.023982,-0.100342,-5.783901
-0.025389,0.091345,-0.503901
-0.187675,0.193519,-1.503901
